,Post_URL,Post_Title,Price,Location,Source
173,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
174,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
176,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
177,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
179,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
180,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
181,NA,GreenEZ Furniture Strip & Clean!,24.5,NA,Etsy
184,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
185,NA,"Rocking chair blank wood, miniature chair for Secret Santa door decoration for Christmas, mini wooden furniture, dollhouse model making",6.06,NA,Etsy
186,NA,"WISE OWL Furniture SALVE, Fast Free Shipping",31.0,NA,Etsy
187,NA,Unfinished Wooden Furniture Legs.,15.0,NA,Etsy
190,NA,Ob11 mini doll miniature furniture wood horse,10.0,NA,Etsy
204,https://www.ikea.com/sa/en/p/batsfjord-leg-birch-10309616/,BÅTSFJORD,30.0,,ikea
389,https://www.ikea.com/sa/en/p/gubbarp-knob-white-80336433/,GUBBARP,3.0,,ikea
435,https://www.ikea.com/sa/en/p/jonaxel-mesh-basket-white-90419965/,JONAXEL,20.0,,ikea
529,https://www.ikea.com/sa/en/p/besta-drawer-runner-soft-closing-40348715/,BESTÅ,25.0,,ikea
534,https://www.ikea.com/sa/en/p/bagganaes-knob-black-30338415/,BAGGANÄS,22.0,,ikea
539,https://www.ikea.com/sa/en/p/jonaxel-2-legs-and-2-castors-white-80419961/,JONAXEL,25.0,,ikea
582,https://www.ikea.com/sa/en/p/hackas-handle-anthracite-30342479/,HACKÅS,32.0,,ikea
653,https://www.ikea.com/sa/en/p/billsbro-handle-white-50334303/,BILLSBRO,25.0,,ikea
926,https://www.ikea.com/sa/en/p/besta-glass-shelf-glass-60295532/,BESTÅ,30.0,,ikea
982,https://www.ikea.com/sa/en/p/hishult-knob-porcelain-white-20273141/,HISHULT,17.0,,ikea
1044,https://www.ikea.com/sa/en/p/kallroer-handle-stainless-steel-10357004/,KALLRÖR,35.0,,ikea
1047,https://www.ikea.com/sa/en/p/eket-glass-door-clear-glass-30428901/,EKET,45.0,,ikea
1122,https://www.ikea.com/sa/en/p/malinda-chair-cushion-light-beige-10209202/,MALINDA,25.0,,ikea
1136,https://www.ikea.com/sa/en/p/adde-chair-white-10219178/,ADDE,40.0,,ikea
1178,https://www.ikea.com/sa/en/p/marius-stool-black-10135659/,MARIUS,25.0,,ikea
1209,https://www.ikea.com/sa/en/p/bertil-chair-pad-grey-30141975/,BERTIL,19.0,,ikea
1213,https://www.ikea.com/sa/en/p/justina-chair-pad-natural-90175000/,JUSTINA,19.0,,ikea
1260,https://www.ikea.com/sa/en/p/bolmen-step-stool-white-60265163/,BOLMEN,22.0,,ikea
1283,https://www.ikea.com/sa/en/p/poaeng-childrens-armchair-cushion-almas-beige-70451635/,POÄNG,45.0,,ikea
